sku,attribute_set_code,product_type,categories,name,description,price,base_image,qty,is_in_stock,related_skus,crosssell_skus,upsell_skus,created_at,updated_at
MJ10-L-Black,Top,simple,Jackets,Mars HeatTech&trade; Pullover-L-Black,"The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.
&bull; Red 1/4 zip pullover.&bull; Adjustable VELCRO&reg; sleeve cuffs. &bull; Two hand pockets. &bull; Napoleon pocket. &bull; Machine wash/dry",66.0,/m/j/mj10-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ10-L-Orange,Top,simple,Jackets,Mars HeatTech&trade; Pullover-L-Orange,"The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.
&bull; Red 1/4 zip pullover.&bull; Adjustable VELCRO&reg; sleeve cuffs. &bull; Two hand pockets. &bull; Napoleon pocket. &bull; Machine wash/dry",66.0,/m/j/mj10-orange_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ10-L-Red,Top,simple,Jackets,Mars HeatTech&trade; Pullover-L-Red,"The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.
&bull; Red 1/4 zip pullover.&bull; Adjustable VELCRO&reg; sleeve cuffs. &bull; Two hand pockets. &bull; Napoleon pocket. &bull; Machine wash/dry",66.0,/m/j/mj10-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ10-XL-Black,Top,simple,Jackets,Mars HeatTech&trade; Pullover-XL-Black,"The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.
&bull; Red 1/4 zip pullover.&bull; Adjustable VELCRO&reg; sleeve cuffs. &bull; Two hand pockets. &bull; Napoleon pocket. &bull; Machine wash/dry",66.0,/m/j/mj10-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ10-XL-Orange,Top,simple,Jackets,Mars HeatTech&trade; Pullover-XL-Orange,"The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.
&bull; Red 1/4 zip pullover.&bull; Adjustable VELCRO&reg; sleeve cuffs. &bull; Two hand pockets. &bull; Napoleon pocket. &bull; Machine wash/dry",66.0,/m/j/mj10-orange_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ10-XL-Red,Top,simple,Jackets,Mars HeatTech&trade; Pullover-XL-Red,"The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.
&bull; Red 1/4 zip pullover.&bull; Adjustable VELCRO&reg; sleeve cuffs. &bull; Two hand pockets. &bull; Napoleon pocket. &bull; Machine wash/dry",66.0,/m/j/mj10-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ10,Top,configurable,Jackets,Mars HeatTech&trade; Pullover,"The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.
&bull; Red 1/4 zip pullover.&bull; Adjustable VELCRO&reg; sleeve cuffs. &bull; Two hand pockets. &bull; Napoleon pocket. &bull; Machine wash/dry",66.0,/m/j/mj10-red_main_1.jpg,0.0,1.0,"MP01,MP09,MH02,MH04","24-WG084,24-UG02,24-WG086,24-UG07",,6/26/25,6/26/25
MJ11-XS-Black,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-XS-Black,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-XS-Green,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-XS-Green,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-XS-Red,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-XS-Red,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-S-Black,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-S-Black,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-S-Green,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-S-Green,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-S-Red,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-S-Red,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-M-Black,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-M-Black,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-M-Green,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-M-Green,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-M-Red,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-M-Red,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-L-Black,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-L-Black,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-L-Green,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-L-Green,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-L-Red,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-L-Red,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-XL-Black,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-XL-Black,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-XL-Green,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-XL-Green,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11-XL-Red,Top,simple,Jackets,Typhon Performance Fleece-lined Jacket-XL-Red,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ11,Top,configurable,Jackets,Typhon Performance Fleece-lined Jacket,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.
&bull; Black full-zip flight jacket.&bull; Cocona&reg; wicking fiber.&bull; Machine wash/dry.",60.0,/m/j/mj11-black_main_1.jpg,0.0,1.0,"MP01,MP12,MH12,MH08","24-UG06,24-UG01,24-WG088,24-UG03",,6/26/25,6/26/25
MJ06-XS-Blue,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -XS-Blue,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-blue_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-XS-Green,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -XS-Green,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-XS-Purple,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -XS-Purple,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-purple_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-S-Blue,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -S-Blue,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-blue_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-S-Green,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -S-Green,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-S-Purple,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -S-Purple,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-purple_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-M-Blue,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -M-Blue,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-blue_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-M-Green,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -M-Green,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-M-Purple,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -M-Purple,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-purple_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-L-Blue,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -L-Blue,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-blue_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-L-Green,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -L-Green,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-L-Purple,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -L-Purple,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-purple_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-XL-Blue,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -XL-Blue,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-blue_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-XL-Green,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -XL-Green,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06-XL-Purple,Top,simple,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer -XL-Purple,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-purple_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ06,Top,configurable,"Jackets,Eco Friendly,Default Category",Jupiter All-Weather Trainer ,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
&bull; Relaxed fit. &bull; Hand pockets. &bull; Machine wash/dry.&bull; Reflective safety trim.",56.99,/m/j/mj06-blue_main_1.jpg,0.0,1.0,"MH06,MP07,MH13,MP09","24-WG084,24-WG085_Group,24-WG085,24-WG086",,6/26/25,6/26/25
MJ03-XS-Black,Top,simple,Jackets,Montana Wind Jacket-XS-Black,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-XS-Green,Top,simple,Jackets,Montana Wind Jacket-XS-Green,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-XS-Red,Top,simple,Jackets,Montana Wind Jacket-XS-Red,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-S-Black,Top,simple,Jackets,Montana Wind Jacket-S-Black,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-S-Green,Top,simple,Jackets,Montana Wind Jacket-S-Green,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-S-Red,Top,simple,Jackets,Montana Wind Jacket-S-Red,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-M-Black,Top,simple,Jackets,Montana Wind Jacket-M-Black,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-M-Green,Top,simple,Jackets,Montana Wind Jacket-M-Green,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-M-Red,Top,simple,Jackets,Montana Wind Jacket-M-Red,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-L-Black,Top,simple,Jackets,Montana Wind Jacket-L-Black,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-L-Green,Top,simple,Jackets,Montana Wind Jacket-L-Green,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-L-Red,Top,simple,Jackets,Montana Wind Jacket-L-Red,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-XL-Black,Top,simple,Jackets,Montana Wind Jacket-XL-Black,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-XL-Green,Top,simple,Jackets,Montana Wind Jacket-XL-Green,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-green_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03-XL-Red,Top,simple,Jackets,Montana Wind Jacket-XL-Red,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-red_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ03,Top,configurable,Jackets,Montana Wind Jacket,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.
Adjustable hood. Split pocket. Thumb holes. Machine wash/hang to dry.",49.0,/m/j/mj03-black_main_1.jpg,0.0,1.0,"MH10,MP11,MH09,MP07","24-WG083-blue,24-UG02,24-UG06,24-WG085",,6/26/25,6/26/25
MJ12-XS-Black,Top,simple,Jackets,Proteus Fitness Jackshirt-XS-Black,"Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona&reg; technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.
&bull; 1/4 zip. Stand-up collar. &bull; Machine wash/dry.&bull; Quilted inner layer.",45.0,/m/j/mj12-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ12-XS-Blue,Top,simple,Jackets,Proteus Fitness Jackshirt-XS-Blue,"Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona&reg; technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.
&bull; 1/4 zip. Stand-up collar. &bull; Machine wash/dry.&bull; Quilted inner layer.",45.0,/m/j/mj12-blue_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ12-XS-Orange,Top,simple,Jackets,Proteus Fitness Jackshirt-XS-Orange,"Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona&reg; technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.
&bull; 1/4 zip. Stand-up collar. &bull; Machine wash/dry.&bull; Quilted inner layer.",45.0,/m/j/mj12-orange_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MJ12-S-Black,Top,simple,Jackets,Proteus Fitness Jackshirt-S-Black,"Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona&reg; technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.
&bull; 1/4 zip. Stand-up collar. &bull; Machine wash/dry.&bull; Quilted inner layer.",45.0,/m/j/mj12-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
